review,category or product name,updated-by ,reference link,sentiment
நல்ல மருந்து மனதிற்கு,நகைச்சுவை நானூறு ,priya,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%95%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%82%E0%AE%B1%E0%AF%81-m507rpsku182?category=%2Fbook-review,positive
சிறப்பான அறிமுகம்,நகைச்சுவை நானூறு ,priya,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%95%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%82%E0%AE%B1%E0%AF%81-m507rpsku182?category=%2Fbook-review,positive
அற்புதம்,நகைச்சுவை நானூறு ,priya,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%95%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%82%E0%AE%B1%E0%AF%81-m507rpsku182?category=%2Fbook-review,positive
அற்புதம்,நகைச்சுவை நானூறு ,priya,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%95%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%82%E0%AE%B1%E0%AF%81-m507rpsku182?category=%2Fbook-review,positive
நன்று,நகைச்சுவை நானூறு ,priya,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%95%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%82%E0%AE%B1%E0%AF%81-m507rpsku182?category=%2Fbook-review,positive
கதை முழுமையானதாக இல்லை என்றே தோன்றுகிறது,சுஜாதாவின் பேசும் பொம்மைகள்,priya,https://tamil.pratilipi.com/story/%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%AA%E0%AF%87%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AA%E0%AF%8A%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%B5%E0%AE%BF%E0%AE%AE%E0%AE%B0%E0%AF%8D%E0%AE%9A%E0%AE%A9%E0%AE%AE%E0%AF%8D-i2dlhyw6jj4z?category=%2Fbook-review,negative
நா.முத்துக்குமார் அவர்கள் வெளியிட்ட முதல் கவிதை புத்தகம். அவரை அறிமுகம் செய்த 'தூர்' என்ற கவிதையும் இப்புத்தகத்தில் தான் உள்ளது. மிகச் சிறிய புத்தகம் தான். எளிய நடையிலேயே கவிதைகள் எழுதப்பட்டுள்ளன.,பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
"மூட்டை புத்தகம் கிடைத்தால் என்னையே விற்றாலும் விற்றுவிடுவார் என் அப்பா,.. மனதை தொட்ட வரிகள்..",பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
"நா. முத்துக்குமார் அவர்களின் மூன்றாவது புத்தகம் நான் படிப்பதில். சில வரிகளில் ஓராயிரம் உணர்வுகளை தரக்கூடியவர் இவர். ஒரு கிராமத்து கிரிக்கெட், பள்ளி, டென்த் ஏ காயத்ரி, தூர் இவை அனைத்தும் பிடித்தமான கவிதைகள். ஒவ்வொரு கவிதையின் முடிவிலும் ஒரு இனம் புரியாத நெகிழ்வு ஏற்படுத்த முடியும் என்றால் அது இவரால் மட்டுமே சாத்தியம். பிடித்த வரிகள்  யாரும் மெனக்கெடாமலே வருடந்தோறும் உருவாகிறார்கள் சில அறிவாளிகளும் முட்டாள்களும் !  - பள்ளி  இந்த புத்தகத்தில் கண்ணை மூடிக்கொண்டு எந்தப் பக்கத்தை பிரித்தாலும் நல்ல கவிதைகள் வரும் பட்டாம்பூச்சி விற்பவன் - பல வர்ணங்களில்",பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
"நா. முத்துக்குமார் நமது தலைமுறையின் புது கவிதை ஆசிரியர்களில் தலைசிறந்த சிலரில் ஒருவர். எளிய நடையினுள் பரந்த கருத்துக்களை நம்மைச் சார்ந்து, நம்மால் சம்பந்தம் படுத்திக்கொள்ளமுடியும்படி சிறப்பாக எழுதியுள்ளார். புது கவிதையிற்கேற்ப, கவிதையின் வாளில் குத்துவதும், கவிதையின் பொருளை எஸ்களேட் செய்வதும் இத்தொகுப்பில் அருமையாக அமைந்துள்ளன. ஒரு கிளாஸ் விஸ்கியுடன் இரவு ஓய்வு கொள்ளச் சரியான புத்தகம் இது.",பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
"நா முத்துக்குமாரின் பிரபலமான படைப்பு இது, அடுத்ததாக 'வேடிக்கை பார்ப்பவன்' கவிதைகளை சீக்கிரம் வாசிக்க வேண்டும் என்று தோன்றுகிறது.",பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
இதில் சில கவிதைகள் என்னுடன் என்றும் இருக்கும். ,பட்டாம்பூச்சி விற்பவன்,priya,https://www.goodreads.com/book/show/22233935?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=3#other_reviews,positive
புத்தகங்கள் திறக்கயில் நான் அமைதி அடைகிறேன். புத்தரின் சீடனா முத்துக்குமார் ,அ'னா ஆவன்னா,priya,https://www.goodreads.com/book/show/32709973?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=8#other_reviews,positive
"நாம் வாழ்வில் அன்றாடம் நடக்கும் செயல்களை மற்றும் நாம் பழகும் மனிதர்களை, பார்க்கும் அல்லது போகும் இடங்கள் பற்றி கவிதை வடிவில் கேலி செய்துள்ளார்/ கேள்வி கேட்டுள்ளார் . பல முறை படிக்க வேண்டிய புத்தகம். புத்தகங்களை சரியாக விமர்ச்சிப்பது  கரையான்கள்மட்டுமே  சில புத்தகங்களை   கரைத்து குடிக்கின்றன,  சில புத்தகங்களை கடித்து குதறுகின்றன.  இங்குபெரும்பாலும்  கல்யாணத்தை மட்டுமல்ல,  கல்யாணத்தில்  கலந்து கொள்வதைக்கூட  நகைகள்தான் தீர்மானிக்கின்றன",அ'னா ஆவன்னா,priya,https://www.goodreads.com/book/show/32709973?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=8#other_reviews,positive
"மனதை துளைத்த வரிகள் ""அடுக்குமாடி குடியிருப்பின் மொட்டை மாடியில் நிலா இருக்கிறது சோறு இருக்கிறது ஊட்டுவதற்க்கு தாயில்லை"".",அ'னா ஆவன்னா,priya,https://www.goodreads.com/book/show/32709973?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=8#other_reviews,positive
அன்றாட வாழ்வில் சந்திக்கும் நபர்கள் முதல் கடவுள் வரை வந்து போகின்றார்கள் இத் தொகுப்பில் உள்ள கவிதைகளில்.ஆங்காங்கே இழையோடும் மெல்லிய நகையுணர்வையும் அங்கதச் சுவையையும் விட என்னை அதிகம் கவர்ந்தது என்னவோ கவிதைகளின் எளிமையும் அவற்றின் இயல்பான தன்மையும் தான்,அ'னா ஆவன்னா,priya,https://www.goodreads.com/book/show/32709973?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=8#other_reviews,positive
"தமிழின் மிக சிறந்த வரலாற்று நாவல்களில் மிகவும் முக்கியத்துவம் வாய்ந்தது. இந்த புத்தகம் படித்த பிறகு தஞ்சாவூர் மற்றும் இலங்கை போய் ஒரு முறை சுற்றி பார்க்க வேண்டும் என்று கட்டாயம் அனைவருக்கும் தோன்றும்.
வந்தியத்தேவன், குந்தவை, ராஜா ராஜா சோழன், பழுவேட்டரையர், நந்தினி, ஆழ்வார்க்கடியான் அனைவரையும் ஒரு முறையாவது பார்க்க வேண்டும் என்று ஆவல் உண்டாகும்
உண்மை நிகழ்வுகளோடு அங்கங்கு கதை சேர்த்து கல்கி பிணைத்திருக்கும் இக்காவியம் என்றும் படித்தவர் அனைவர் மனதிலும் வாழும்.
இக்காவியத்தை நான் என்றும் அனைவருக்கும் பரிந்துரைப்பேன்.",பொன்னியின் செல்வன்,sanjju,https://www.goodreads.com/book/show/1108124._,positive
"பாரதியின் ஆகச் சிறந்த படைப்பு. பாடல் புதிது, பொருள் புதிது. எல்லோருக்கும் தெரிந்த புராணக் கதையை இந்திய விடுதலை போருடன் தொடர்பு படுத்தி எழுதிய நேர்த்தி புதிதான ஓர் அனுபவம்.",பாஞ்சாலி சபதம்,sanjju,https://www.goodreads.com/book/show/41443361-panchali-sabatham?from_search=true&from_srp=true&qid=4XI9yQx06n&rank=5,positive
அருமை தன் வாழ்வில் நடந்த உண்மை சம்பவத்தை ஒளிவு மறைவின்றி பதிவு செய்த ஆசிரியருக்கு என் மனமார்ந்த வாழ்த்துக்கள்.. படிக்க மிக அருமையாக இருந்தது.. என் வாழ்விலும் இது போன்ற சம்பவம் நடந்ததை நினைவூட்டியது.. நன்றி. வாழ்க தமிழ்,AVAN,sanjju,https://www.goodreads.com/book/show/37932246-tamil-books?from_search=true&from_srp=true&qid=4XI9yQx06n&rank=10,positive
"ஒளவை பாடிய பாடல்களின் தொகுப்பு, இன்றைய குழந்தைகளுக்கு புரியும் பொருட்டு
எளிய தமிழ் மற்றும் ஆங்கில விளக்கத்துடன் , படிப்பதற்கு வசதியாக மின்னூல் வடிவில் உங்க்களுக்காக.
இதை தம் குழந்தைகளுக்கு சொல்லி கொடுத்து வளர்க்கும் பொழுது அவர்களின் அரமும் தமிழ் ஆர்வமும் பெருகும் என்பது உண்மை.அனைத்து வயதினரும் படிக்க ஒரு சிறந்த நூல்... அவ்வை பாடிய பாடல்கள்.",ஆத்திசூடி | கொன்றைவேந்தன் | மூதுரை | நல்வழி : தமிழ் மற்றும் ஆங்கில விளக்கத்துடன் - Avvaiyar books in tamil,sanjju,https://www.goodreads.com/book/show/51247297?from_search=true&from_srp=true&qid=4XI9yQx06n&rank=115,positive
